Gene ID,source_id,Organism,Product Description,Protein Length,Molecular Weight,Superfamily Description,# TM Domains,Computed GO Functions
GL50803_0010013,GL50803_0010013_t1,Giardia Assemblage A isolate WB 2019,Qc-SNARE 3,220,24462,N/A,1,N/A
GL50803_0010014,GL50803_0010014_t1,Giardia Assemblage A isolate WB 2019,unspecified product,378,43479,N/A,0,N/A
GL50803_0010016,GL50803_0010016_t1,Giardia Assemblage A isolate WB 2019,Phasin superfamily protein,311,34514,Thioredoxin-like superfamily,0,N/A
GL50803_0010019,GL50803_0010019_t1,Giardia Assemblage A isolate WB 2019,putative Phospholipid-transporting ATPase IA,1560,173785,"HAD-like superfamily;P-type ATPase, A domain superfamily;P-type ATPase, cytoplasmic domain N;P-type ATPase, transmembrane domain superfamily",8,ATP binding;ATPase-coupled intramembrane lipid transporter activity;nucleotide binding;obsolete ATP hydrolysis activity;transporter activity
GL50803_0010025,GL50803_0010025_t1,Giardia Assemblage A isolate WB 2019,unspecified product,241,27232,N/A,0,N/A
GL50803_0010027,GL50803_0010027_t1,Giardia Assemblage A isolate WB 2019,unspecified product,251,28142,N/A,0,N/A
GL50803_0010033,GL50803_0010033_t1,Giardia Assemblage A isolate WB 2019,unspecified product,307,34768,N/A,0,N/A
GL50803_0010034,GL50803_0010034_t1,Giardia Assemblage A isolate WB 2019,unspecified product,2066,229797,N/A,0,N/A
GL50803_0010036,GL50803_0010036_t1,Giardia Assemblage A isolate WB 2019,Alpha-16 giardin,365,41437,Annexin superfamily,0,calcium ion binding;calcium-dependent phospholipid binding
GL50803_0010038,GL50803_0010038_t1,Giardia Assemblage A isolate WB 2019,Alpha-18 giardin,286,32335,Annexin superfamily,0,calcium ion binding;calcium-dependent phospholipid binding
GL50803_0010051,GL50803_0010051_t1,Giardia Assemblage A isolate WB 2019,unspecified product,628,68292,"Purple acid phosphatase-like, N-terminal",2,acid phosphatase activity;metal ion binding
GL50803_0010055,GL50803_0010055_t1,Giardia Assemblage A isolate WB 2019,DNA-directed RNA polymerase subunit D,350,39897,"RNA polymerase, RBP11-like subunit;DNA-directed RNA polymerase, insert domain superfamily",0,DNA-directed 5'-3' RNA polymerase activity;RNA polymerase I activity;RNA polymerase III activity;protein dimerization activity
GL50803_0010056,GL50803_0010056_t1,Giardia Assemblage A isolate WB 2019,putative Rho GAP,198,22659,Rho GTPase activation protein,0,N/A
GL50803_0010062,GL50803_0010062_t1,Giardia Assemblage A isolate WB 2019,unspecified product,223,24570,N/A,0,N/A
GL50803_0010063,GL50803_0010063_t1,Giardia Assemblage A isolate WB 2019,unspecified product,404,45781,N/A,2,N/A
GL50803_0010073,GL50803_0010073_t1,Giardia Assemblage A isolate WB 2019,Alpha-12 giardin,323,36077,Annexin superfamily,0,calcium ion binding;calcium-dependent phospholipid binding
GL50803_0010079,GL50803_0010079_t1,Giardia Assemblage A isolate WB 2019,unspecified product,744,83376,N/A,0,N/A
GL50803_00100845,GL50803_00100845_t1,Giardia Assemblage A isolate WB 2019,Lipase,423,47293,Alpha/Beta hydrolase fold,0,N/A
GL50803_00100864,GL50803_00100864_t1,Giardia Assemblage A isolate WB 2019,Vacuolar protein sorting 26,506,54676,N/A,0,N/A
GL50803_00100887,GL50803_00100887_t1,Giardia Assemblage A isolate WB 2019,putative Methyltransferase,416,45826,S-adenosyl-L-methionine-dependent methyltransferase,0,mRNA (nucleoside-2'-O-)-methyltransferase activity;methyltransferase activity
GL50803_00100906,GL50803_00100906_t1,Giardia Assemblage A isolate WB 2019,IAD-1alpha dynein heavy chain,5550,622996,P-loop containing nucleoside triphosphate hydrolase,0,ATP binding;dynein intermediate chain binding;dynein light intermediate chain binding;minus-end-directed microtubule motor activity
GL50803_0010091,GL50803_0010091_t1,Giardia Assemblage A isolate WB 2019,Ribosomal protein L23,142,15422,Ribosomal protein L14 superfamily,0,structural constituent of ribosome
GL50803_00100955,GL50803_00100955_t1,Giardia Assemblage A isolate WB 2019,Mitotic spindle checkpoint protein MAD2,203,22545,HORMA domain superfamily,0,N/A
GL50803_00100959,GL50803_00100959_t1,Giardia Assemblage A isolate WB 2019,Methyltransferase,323,36854,S-adenosyl-L-methionine-dependent methyltransferase,0,N/A
