Gene ID,source_id,Organism,Product Description,Protein Length,Molecular Weight,Superfamily Description,# TM Domains,Computed GO Functions,Secretome,Cyst,Trophozoite
GL50581_1,GL50581_1-t26_1,Giardia Assemblage B isolate GS,VSP [Source:UniProtKB/TrEMBL;Acc:C6LMQ7],407.0,41559.0,Growth factor receptor cysteine-rich domain superfamily,1.0,,0,0,1
GL50581_100,GL50581_100-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,236.0,28108.0,,0.0,,0,0,1
GL50581_1000,GL50581_1000-t26_1,Giardia Assemblage B isolate GS,CLP1_P domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LQH3],604.0,66708.0,P-loop containing nucleoside triphosphate hydrolase,0.0,ATP binding,0,0,1
GL50581_1001,GL50581_1001-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,832.0,93564.0,,0.0,,0,0,1
GL50581_1002,GL50581_1002-t26_1,Giardia Assemblage B isolate GS,"Kinase, NEK [Source:UniProtKB/TrEMBL;Acc:C6LQH5]",678.0,76036.0,Ankyrin repeat-containing domain superfamily;Protein kinase-like domain superfamily,0.0,ATP binding;protein binding;protein kinase activity,0,0,1
GL50581_1003,GL50581_1003-t26_1,Giardia Assemblage B isolate GS,Nudix hydrolase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LQH6],150.0,17016.0,NUDIX hydrolase-like domain superfamily,0.0,hydrolase activity,0,0,1
GL50581_1004,GL50581_1004-t26_1,Giardia Assemblage B isolate GS,Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase [Source:UniProtKB/TrEMBL;Acc:C6LQH7],196.0,22778.0,,4.0,3-hydroxy-arachidoyl-CoA dehydratase activity;3-hydroxy-behenoyl-CoA dehydratase activity;3-hydroxy-lignoceroyl-CoA dehydratase activity;very-long-chain 3-hydroxyacyl-CoA dehydratase activity,0,0,1
GL50581_1005,GL50581_1005-t26_1,Giardia Assemblage B isolate GS,Inosine triphosphate pyrophosphatase [Source:UniProtKB/TrEMBL;Acc:C6LQH8],194.0,21420.0,Inosine triphosphate pyrophosphatase-like,0.0,NADH pyrophosphatase activity;dTTP diphosphatase activity;metal ion binding;nucleoside-triphosphate diphosphatase activity;nucleotide binding,0,0,1
GL50581_1006,GL50581_1006-t26_1,Giardia Assemblage B isolate GS,Synaptobrevin-like protein [Source:UniProtKB/TrEMBL;Acc:C6LQH9],239.0,26304.0,,2.0,,0,1,0
GL50581_1007,GL50581_1007-t26_1,Giardia Assemblage B isolate GS,ZZ-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LQI0],1834.0,208082.0,,0.0,zinc ion binding,0,0,1
GL50581_1008,GL50581_1008-t26_1,Giardia Assemblage B isolate GS,"Amino acid permease, putative [Source:UniProtKB/TrEMBL;Acc:C6LQI1]",647.0,70617.0,,11.0,transmembrane transporter activity,0,0,1
GL50581_1009,GL50581_1009-t26_1,Giardia Assemblage B isolate GS,ANK_REP_REGION domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LQI2],2350.0,259860.0,Ankyrin repeat-containing domain superfamily,0.0,protein binding,0,0,1
