Gene ID,source_id,Organism,Product Description,Protein Length,Molecular Weight,Superfamily Description,# TM Domains,Computed GO Functions,Secretome,Cyst,Trophozoite
GL50803_0010013,GL50803_0010013_t1,Giardia Assemblage A isolate WB 2019,Qc-SNARE 3,220.0,24462.0,,1.0,,0,0,1
GL50803_0010014,GL50803_0010014_t1,Giardia Assemblage A isolate WB 2019,unspecified product,378.0,43479.0,,0.0,,0,0,1
GL50803_0010016,GL50803_0010016_t1,Giardia Assemblage A isolate WB 2019,Phasin superfamily protein,311.0,34514.0,Thioredoxin-like superfamily,0.0,,0,0,1
GL50803_0010019,GL50803_0010019_t1,Giardia Assemblage A isolate WB 2019,putative Phospholipid-transporting ATPase IA,1560.0,173785.0,"HAD-like superfamily;P-type ATPase, A domain superfamily;P-type ATPase, cytoplasmic domain N;P-type ATPase, transmembrane domain superfamily",8.0,ATP binding;ATPase-coupled intramembrane lipid transporter activity;nucleotide binding;obsolete ATP hydrolysis activity;transporter activity,0,0,1
GL50803_0010025,GL50803_0010025_t1,Giardia Assemblage A isolate WB 2019,unspecified product,241.0,27232.0,,0.0,,0,0,1
GL50803_0010027,GL50803_0010027_t1,Giardia Assemblage A isolate WB 2019,unspecified product,251.0,28142.0,,0.0,,0,0,1
GL50803_0010033,GL50803_0010033_t1,Giardia Assemblage A isolate WB 2019,unspecified product,307.0,34768.0,,0.0,,0,0,1
GL50803_0010034,GL50803_0010034_t1,Giardia Assemblage A isolate WB 2019,unspecified product,2066.0,229797.0,,0.0,,0,0,1
GL50803_0010036,GL50803_0010036_t1,Giardia Assemblage A isolate WB 2019,Alpha-16 giardin,365.0,41437.0,Annexin superfamily,0.0,calcium ion binding;calcium-dependent phospholipid binding,0,0,1
GL50803_0010038,GL50803_0010038_t1,Giardia Assemblage A isolate WB 2019,Alpha-18 giardin,286.0,32335.0,Annexin superfamily,0.0,calcium ion binding;calcium-dependent phospholipid binding,0,0,1
GL50803_0010051,GL50803_0010051_t1,Giardia Assemblage A isolate WB 2019,unspecified product,628.0,68292.0,"Purple acid phosphatase-like, N-terminal",2.0,acid phosphatase activity;metal ion binding,0,0,1
GL50803_0010055,GL50803_0010055_t1,Giardia Assemblage A isolate WB 2019,DNA-directed RNA polymerase subunit D,350.0,39897.0,"RNA polymerase, RBP11-like subunit;DNA-directed RNA polymerase, insert domain superfamily",0.0,DNA-directed 5'-3' RNA polymerase activity;RNA polymerase I activity;RNA polymerase III activity;protein dimerization activity,0,0,1
GL50803_0010056,GL50803_0010056_t1,Giardia Assemblage A isolate WB 2019,putative Rho GAP,198.0,22659.0,Rho GTPase activation protein,0.0,,0,0,1
GL50803_0010062,GL50803_0010062_t1,Giardia Assemblage A isolate WB 2019,unspecified product,223.0,24570.0,,0.0,,0,0,1
GL50803_0010063,GL50803_0010063_t1,Giardia Assemblage A isolate WB 2019,unspecified product,404.0,45781.0,,2.0,,0,0,1
GL50803_0010073,GL50803_0010073_t1,Giardia Assemblage A isolate WB 2019,Alpha-12 giardin,323.0,36077.0,Annexin superfamily,0.0,calcium ion binding;calcium-dependent phospholipid binding,0,0,1
GL50803_0010079,GL50803_0010079_t1,Giardia Assemblage A isolate WB 2019,unspecified product,744.0,83376.0,,0.0,,0,0,1
GL50803_00100845,GL50803_00100845_t1,Giardia Assemblage A isolate WB 2019,Lipase,423.0,47293.0,Alpha/Beta hydrolase fold,0.0,,0,0,1
GL50803_00100864,GL50803_00100864_t1,Giardia Assemblage A isolate WB 2019,Vacuolar protein sorting 26,506.0,54676.0,,0.0,,0,0,1
GL50803_00100887,GL50803_00100887_t1,Giardia Assemblage A isolate WB 2019,putative Methyltransferase,416.0,45826.0,S-adenosyl-L-methionine-dependent methyltransferase,0.0,mRNA (nucleoside-2'-O-)-methyltransferase activity;methyltransferase activity,0,0,1
GL50803_00100906,GL50803_00100906_t1,Giardia Assemblage A isolate WB 2019,IAD-1alpha dynein heavy chain,5550.0,622996.0,P-loop containing nucleoside triphosphate hydrolase,0.0,ATP binding;dynein intermediate chain binding;dynein light intermediate chain binding;minus-end-directed microtubule motor activity,0,0,1
GL50803_0010091,GL50803_0010091_t1,Giardia Assemblage A isolate WB 2019,Ribosomal protein L23,142.0,15422.0,Ribosomal protein L14 superfamily,0.0,structural constituent of ribosome,0,0,1
GL50803_00100955,GL50803_00100955_t1,Giardia Assemblage A isolate WB 2019,Mitotic spindle checkpoint protein MAD2,203.0,22545.0,HORMA domain superfamily,0.0,,0,0,1
GL50803_00100959,GL50803_00100959_t1,Giardia Assemblage A isolate WB 2019,Methyltransferase,323.0,36854.0,S-adenosyl-L-methionine-dependent methyltransferase,0.0,,0,0,1
GL50803_00100969,GL50803_00100969_t1,Giardia Assemblage A isolate WB 2019,unspecified product,175.0,19347.0,,0.0,,0,0,1
GL50803_00100987,GL50803_00100987_t1,Giardia Assemblage A isolate WB 2019,unspecified product,1524.0,171965.0,,0.0,,0,0,1
GL50803_00101010,GL50803_00101010_t1,Giardia Assemblage A isolate WB 2019,VSP with INR,419.0,42851.0,Growth factor receptor cysteine-rich domain superfamily,1.0,,0,0,1
GL50803_00101011,GL50803_00101011_t1,Giardia Assemblage A isolate WB 2019,Zinc finger protein,508.0,57477.0,"Zinc finger, CHY-type superfamily",0.0,zinc ion binding,0,0,1
GL50803_00101074,GL50803_00101074_t1,Giardia Assemblage A isolate WB 2019,VSP with INR,739.0,76764.0,Growth factor receptor cysteine-rich domain superfamily,1.0,,0,0,1
GL50803_00101120,GL50803_00101120_t1,Giardia Assemblage A isolate WB 2019,unspecified product,895.0,97971.0,,0.0,,0,0,1
GL50803_00101138,GL50803_00101138_t1,Giardia Assemblage A isolate WB 2019,Dynein heavy chain,5163.0,578220.0,P-loop containing nucleoside triphosphate hydrolase,0.0,ATP binding;ATP hydrolysis activity;microtubule motor activity;minus-end-directed microtubule motor activity,0,0,1
GL50803_00101168,GL50803_00101168_t1,Giardia Assemblage A isolate WB 2019,Ankyrin repeat protein 1,1121.0,125034.0,Ankyrin repeat-containing domain superfamily,0.0,protein binding,0,0,1
GL50803_00101189,GL50803_00101189_t1,Giardia Assemblage A isolate WB 2019,unspecified product,392.0,43953.0,,0.0,,0,0,1
GL50803_00101194,GL50803_00101194_t1,Giardia Assemblage A isolate WB 2019,Ion channel family protein,1416.0,160458.0,,7.0,,0,0,1
GL50803_00101212,GL50803_00101212_t1,Giardia Assemblage A isolate WB 2019,unspecified product,1719.0,192211.0,,0.0,,0,0,1
GL50803_0010122,GL50803_0010122_t1,Giardia Assemblage A isolate WB 2019,pseudogene,,,,,,0,0,1
