Gene ID,source_id,Organism,Product Description,Protein Length,Molecular Weight,Superfamily Description,# TM Domains,Computed GO Functions
GL50581_1,GL50581_1-t26_1,Giardia Assemblage B isolate GS,VSP [Source:UniProtKB/TrEMBL;Acc:C6LMQ7],407,41559,Growth factor receptor cysteine-rich domain superfamily,1,N/A
GL50581_100,GL50581_100-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,236,28108,N/A,0,N/A
GL50581_1000,GL50581_1000-t26_1,Giardia Assemblage B isolate GS,CLP1_P domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LQH3],604,66708,P-loop containing nucleoside triphosphate hydrolase,0,ATP binding
GL50581_1001,GL50581_1001-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,832,93564,N/A,0,N/A
GL50581_1002,GL50581_1002-t26_1,Giardia Assemblage B isolate GS,"Kinase, NEK [Source:UniProtKB/TrEMBL;Acc:C6LQH5]",678,76036,Ankyrin repeat-containing domain superfamily;Protein kinase-like domain superfamily,0,ATP binding;protein binding;protein kinase activity
GL50581_1003,GL50581_1003-t26_1,Giardia Assemblage B isolate GS,Nudix hydrolase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LQH6],150,17016,NUDIX hydrolase-like domain superfamily,0,hydrolase activity
GL50581_1004,GL50581_1004-t26_1,Giardia Assemblage B isolate GS,Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase [Source:UniProtKB/TrEMBL;Acc:C6LQH7],196,22778,N/A,4,3-hydroxy-arachidoyl-CoA dehydratase activity;3-hydroxy-behenoyl-CoA dehydratase activity;3-hydroxy-lignoceroyl-CoA dehydratase activity;very-long-chain 3-hydroxyacyl-CoA dehydratase activity
GL50581_1005,GL50581_1005-t26_1,Giardia Assemblage B isolate GS,Inosine triphosphate pyrophosphatase [Source:UniProtKB/TrEMBL;Acc:C6LQH8],194,21420,Inosine triphosphate pyrophosphatase-like,0,NADH pyrophosphatase activity;dTTP diphosphatase activity;metal ion binding;nucleoside-triphosphate diphosphatase activity;nucleotide binding
GL50581_1006,GL50581_1006-t26_1,Giardia Assemblage B isolate GS,Synaptobrevin-like protein [Source:UniProtKB/TrEMBL;Acc:C6LQH9],239,26304,N/A,2,N/A
GL50581_1007,GL50581_1007-t26_1,Giardia Assemblage B isolate GS,ZZ-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LQI0],1834,208082,N/A,0,zinc ion binding
GL50581_1008,GL50581_1008-t26_1,Giardia Assemblage B isolate GS,"Amino acid permease, putative [Source:UniProtKB/TrEMBL;Acc:C6LQI1]",647,70617,N/A,11,transmembrane transporter activity
